ID_Caso;Tipo_Ataque;Pais;Idade_Vitima;Especie_Tubarao
65;Desastre Marítimo;SOUTH AFRICA;38.0;Tubarão Cabeça-Chata
66;Não Provocado;USA;25.0;Tubarão Tigre
67;Desastre Marítimo;AUSTRALIA;56.0;
68;Provocado;AUSTRALIA;68.0;Tubarão Cabeça-Chata
69;Não Provocado;SOUTH AFRICA;40.0;Tubarão Branco
70;Provocado;AUSTRALIA;13.0;Tubarão Cabeça-Chata
71;Não Provocado;USA;;Tubarão Branco
72;Desastre Marítimo;SOUTH AFRICA;26.0;
73;Desastre Marítimo;BRAZIL;48.0;Tubarão Cabeça-Chata
74;Desastre Marítimo;BRAZIL;57.0;Tubarão Cabeça-Chata
75;Não Provocado;AUSTRALIA;55.0;Tubarão Branco
76;Provocado;SOUTH AFRICA;57.0;Tubarão Cabeça-Chata
77;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
78;Não Provocado;BRAZIL;13.0;
79;Não Provocado;SOUTH AFRICA;39.0;Tubarão Cabeça-Chata
80;Provocado;SOUTH AFRICA;39.0;Tubarão Tigre
81;Provocado;SOUTH AFRICA;31.0;Tubarão Branco
82;Provocado;AUSTRALIA;75.0;Tubarão Cabeça-Chata
83;Provocado;SOUTH AFRICA;21.0;Tubarão Branco
84;Não Provocado;USA;45.0;Tubarão Branco
85;Não Provocado;AUSTRALIA;27.0;Tubarão Branco
86;Desastre Marítimo;SOUTH AFRICA;;Tubarão Cabeça-Chata
87;Provocado;SOUTH AFRICA;10.0;Tubarão Cabeça-Chata
88;Desastre Marítimo;USA;67.0;Tubarão Branco
89;Não Provocado;AUSTRALIA;;Tubarão Tigre
90;Não Provocado;BRAZIL;79.0;Tubarão Branco
91;Desastre Marítimo;BRAZIL;53.0;Tubarão Tigre
92;Provocado;AUSTRALIA;33.0;Tubarão Branco
93;Provocado;SOUTH AFRICA;28.0;
94;Provocado;SOUTH AFRICA;27.0;Tubarão Branco
95;Provocado;BRAZIL;;Tubarão Branco
96;Desastre Marítimo;BRAZIL;51.0;Tubarão Cabeça-Chata
97;Desastre Marítimo;BRAZIL;42.0;Tubarão Tigre
98;Não Provocado;USA;21.0;
99;Provocado;BRAZIL;36.0;Tubarão Tigre
100;Provocado;USA;48.0;
101;Provocado;AUSTRALIA;18.0;Tubarão Branco
102;Desastre Marítimo;SOUTH AFRICA;30.0;Tubarão Cabeça-Chata
103;Provocado;BRAZIL;38.0;Tubarão Cabeça-Chata
104;Desastre Marítimo;SOUTH AFRICA;;Tubarão Tigre
105;Provocado;SOUTH AFRICA;71.0;Tubarão Cabeça-Chata
106;Provocado;BRAZIL;24.0;Tubarão Tigre
107;Não Provocado;BRAZIL;11.0;Tubarão Tigre
108;Provocado;AUSTRALIA;61.0;
109;Provocado;USA;53.0;Tubarão Tigre
110;Não Provocado;USA;;
111;Desastre Marítimo;SOUTH AFRICA;27.0;Tubarão Cabeça-Chata
112;Desastre Marítimo;BRAZIL;12.0;Tubarão Tigre
113;Provocado;AUSTRALIA;;Tubarão Tigre
114;Desastre Marítimo;AUSTRALIA;52.0;Tubarão Branco
115;Provocado;AUSTRALIA;47.0;Tubarão Tigre
116;Não Provocado;AUSTRALIA;46.0;Tubarão Tigre
117;Não Provocado;AUSTRALIA;67.0;Tubarão Branco
118;Provocado;USA;42.0;Tubarão Branco
119;Não Provocado;USA;68.0;Tubarão Cabeça-Chata
120;Não Provocado;USA;20.0;Tubarão Tigre
121;Provocado;BRAZIL;;Tubarão Cabeça-Chata
122;Provocado;SOUTH AFRICA;77.0;Tubarão Cabeça-Chata
123;Não Provocado;AUSTRALIA;31.0;Tubarão Branco
124;Desastre Marítimo;BRAZIL;;
125;Desastre Marítimo;AUSTRALIA;53.0;Tubarão Cabeça-Chata
126;Provocado;USA;15.0;
127;Provocado;BRAZIL;;Tubarão Tigre
128;Desastre Marítimo;USA;34.0;Tubarão Branco
129;Não Provocado;AUSTRALIA;66.0;Tubarão Tigre
130;Desastre Marítimo;AUSTRALIA;;Tubarão Tigre
131;Desastre Marítimo;SOUTH AFRICA;25.0;Tubarão Branco
132;Desastre Marítimo;AUSTRALIA;23.0;Tubarão Tigre
133;Desastre Marítimo;USA;48.0;Tubarão Branco
134;Provocado;AUSTRALIA;37.0;
135;Provocado;SOUTH AFRICA;60.0;Tubarão Tigre
136;Não Provocado;SOUTH AFRICA;;Tubarão Branco
137;Não Provocado;USA;18.0;Tubarão Cabeça-Chata
138;Não Provocado;BRAZIL;67.0;Tubarão Tigre
139;Não Provocado;AUSTRALIA;;
140;Desastre Marítimo;SOUTH AFRICA;31.0;Tubarão Branco
141;Provocado;AUSTRALIA;41.0;Tubarão Tigre
142;Provocado;AUSTRALIA;;Tubarão Tigre
143;Não Provocado;BRAZIL;78.0;Tubarão Tigre
144;Não Provocado;SOUTH AFRICA;51.0;
145;Desastre Marítimo;AUSTRALIA;;Tubarão Branco
146;Desastre Marítimo;SOUTH AFRICA;68.0;Tubarão Cabeça-Chata
147;Não Provocado;USA;48.0;Tubarão Cabeça-Chata
148;Provocado;USA;;Tubarão Cabeça-Chata
149;Provocado;AUSTRALIA;38.0;Tubarão Branco
150;Provocado;SOUTH AFRICA;12.0;Tubarão Cabeça-Chata
151;Não Provocado;AUSTRALIA;;
152;Provocado;SOUTH AFRICA;38.0;Tubarão Branco
153;Desastre Marítimo;SOUTH AFRICA;44.0;Tubarão Tigre
154;Desastre Marítimo;BRAZIL;15.0;
155;Não Provocado;BRAZIL;21.0;Tubarão Tigre
156;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
157;Não Provocado;AUSTRALIA;28.0;
158;Provocado;BRAZIL;76.0;Tubarão Branco
159;Provocado;BRAZIL;17.0;
160;Provocado;USA;;Tubarão Tigre
161;Desastre Marítimo;SOUTH AFRICA;56.0;Tubarão Branco
162;Não Provocado;SOUTH AFRICA;13.0;
163;Provocado;BRAZIL;60.0;
164;Não Provocado;SOUTH AFRICA;76.0;
165;Provocado;USA;;
166;Desastre Marítimo;USA;17.0;Tubarão Branco
167;Desastre Marítimo;BRAZIL;25.0;Tubarão Tigre
168;Não Provocado;USA;76.0;
169;Desastre Marítimo;SOUTH AFRICA;18.0;Tubarão Branco
170;Desastre Marítimo;AUSTRALIA;69.0;Tubarão Tigre
171;Não Provocado;SOUTH AFRICA;24.0;
172;Provocado;AUSTRALIA;50.0;Tubarão Tigre
173;Desastre Marítimo;BRAZIL;31.0;Tubarão Tigre
174;Não Provocado;AUSTRALIA;33.0;Tubarão Branco
175;Desastre Marítimo;USA;;Tubarão Tigre
176;Desastre Marítimo;SOUTH AFRICA;10.0;Tubarão Branco
177;Desastre Marítimo;AUSTRALIA;19.0;
178;Desastre Marítimo;SOUTH AFRICA;65.0;Tubarão Tigre
179;Não Provocado;BRAZIL;59.0;Tubarão Tigre
180;Não Provocado;BRAZIL;21.0;Tubarão Cabeça-Chata
181;Não Provocado;USA;69.0;
182;Desastre Marítimo;BRAZIL;35.0;
183;Desastre Marítimo;AUSTRALIA;;Tubarão Cabeça-Chata
184;Desastre Marítimo;BRAZIL;45.0;Tubarão Cabeça-Chata
185;Não Provocado;USA;32.0;Tubarão Branco
186;Desastre Marítimo;SOUTH AFRICA;52.0;Tubarão Branco
187;Provocado;SOUTH AFRICA;15.0;Tubarão Tigre
188;Desastre Marítimo;BRAZIL;78.0;Tubarão Tigre
189;Provocado;AUSTRALIA;52.0;Tubarão Tigre
190;Desastre Marítimo;USA;;Tubarão Tigre
191;Não Provocado;AUSTRALIA;;Tubarão Branco
192;Desastre Marítimo;USA;71.0;
193;Provocado;BRAZIL;22.0;Tubarão Tigre
194;Provocado;USA;52.0;
195;Desastre Marítimo;USA;;Tubarão Tigre
196;Provocado;BRAZIL;27.0;Tubarão Cabeça-Chata
197;Provocado;AUSTRALIA;;Tubarão Tigre
198;Não Provocado;BRAZIL;;Tubarão Tigre
199;Desastre Marítimo;USA;72.0;Tubarão Tigre
200;Desastre Marítimo;BRAZIL;66.0;Tubarão Branco
201;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
202;Provocado;BRAZIL;;Tubarão Tigre
203;Desastre Marítimo;SOUTH AFRICA;36.0;Tubarão Tigre
204;Desastre Marítimo;SOUTH AFRICA;41.0;
205;Não Provocado;BRAZIL;18.0;Tubarão Cabeça-Chata
206;Não Provocado;AUSTRALIA;77.0;Tubarão Tigre
207;Não Provocado;USA;55.0;
208;Provocado;SOUTH AFRICA;76.0;
209;Desastre Marítimo;AUSTRALIA;35.0;Tubarão Branco
210;Não Provocado;USA;17.0;
211;Não Provocado;SOUTH AFRICA;15.0;Tubarão Tigre
212;Não Provocado;SOUTH AFRICA;33.0;Tubarão Branco
213;Desastre Marítimo;BRAZIL;;Tubarão Branco
214;Desastre Marítimo;USA;54.0;Tubarão Tigre
215;Desastre Marítimo;AUSTRALIA;22.0;Tubarão Cabeça-Chata
216;Provocado;AUSTRALIA;78.0;
217;Provocado;AUSTRALIA;34.0;Tubarão Branco
218;Não Provocado;USA;29.0;Tubarão Cabeça-Chata
219;Desastre Marítimo;AUSTRALIA;;Tubarão Tigre
220;Não Provocado;AUSTRALIA;54.0;
221;Desastre Marítimo;AUSTRALIA;56.0;
222;Desastre Marítimo;BRAZIL;;Tubarão Branco
223;Desastre Marítimo;BRAZIL;;
224;Provocado;USA;28.0;
225;Provocado;USA;44.0;
226;Desastre Marítimo;AUSTRALIA;;
227;Não Provocado;BRAZIL;35.0;Tubarão Tigre
228;Desastre Marítimo;SOUTH AFRICA;23.0;Tubarão Cabeça-Chata
229;Desastre Marítimo;SOUTH AFRICA;54.0;Tubarão Tigre
230;Não Provocado;AUSTRALIA;53.0;Tubarão Tigre
231;Desastre Marítimo;AUSTRALIA;74.0;Tubarão Branco
232;Não Provocado;BRAZIL;60.0;
233;Provocado;BRAZIL;;Tubarão Tigre
234;Provocado;BRAZIL;;
235;Não Provocado;USA;65.0;Tubarão Tigre
236;Provocado;USA;28.0;Tubarão Tigre
237;Provocado;AUSTRALIA;64.0;Tubarão Branco
238;Não Provocado;USA;69.0;Tubarão Cabeça-Chata
239;Provocado;BRAZIL;68.0;Tubarão Cabeça-Chata
240;Desastre Marítimo;BRAZIL;;Tubarão Tigre
241;Desastre Marítimo;USA;28.0;Tubarão Branco
242;Não Provocado;SOUTH AFRICA;37.0;
243;Provocado;AUSTRALIA;61.0;
244;Desastre Marítimo;SOUTH AFRICA;58.0;Tubarão Tigre
245;Desastre Marítimo;AUSTRALIA;;Tubarão Cabeça-Chata
246;Provocado;SOUTH AFRICA;;Tubarão Branco
247;Provocado;USA;49.0;Tubarão Cabeça-Chata
248;Desastre Marítimo;AUSTRALIA;47.0;
249;Desastre Marítimo;AUSTRALIA;63.0;Tubarão Cabeça-Chata
250;Não Provocado;AUSTRALIA;31.0;
251;Não Provocado;BRAZIL;25.0;Tubarão Branco
252;Desastre Marítimo;BRAZIL;37.0;Tubarão Branco
253;Não Provocado;SOUTH AFRICA;44.0;Tubarão Tigre
254;Desastre Marítimo;USA;69.0;Tubarão Tigre
255;Desastre Marítimo;BRAZIL;54.0;Tubarão Cabeça-Chata
256;Não Provocado;AUSTRALIA;;Tubarão Branco
257;Não Provocado;BRAZIL;64.0;Tubarão Branco
258;Provocado;USA;35.0;Tubarão Tigre
259;Provocado;BRAZIL;34.0;
260;Provocado;AUSTRALIA;;Tubarão Cabeça-Chata
261;Desastre Marítimo;SOUTH AFRICA;15.0;Tubarão Cabeça-Chata
262;Não Provocado;AUSTRALIA;32.0;Tubarão Tigre
263;Desastre Marítimo;USA;;Tubarão Branco
264;Não Provocado;SOUTH AFRICA;52.0;Tubarão Tigre
265;Desastre Marítimo;BRAZIL;32.0;Tubarão Tigre
266;Provocado;BRAZIL;;Tubarão Tigre
267;Provocado;BRAZIL;27.0;Tubarão Tigre
268;Provocado;SOUTH AFRICA;30.0;
269;Desastre Marítimo;AUSTRALIA;66.0;
270;Não Provocado;SOUTH AFRICA;;Tubarão Branco
271;Não Provocado;SOUTH AFRICA;54.0;Tubarão Tigre
272;Provocado;USA;;
273;Provocado;SOUTH AFRICA;56.0;Tubarão Branco
274;Provocado;BRAZIL;;Tubarão Tigre
275;Provocado;AUSTRALIA;60.0;Tubarão Cabeça-Chata
276;Não Provocado;AUSTRALIA;51.0;
277;Desastre Marítimo;AUSTRALIA;16.0;Tubarão Branco
278;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
279;Desastre Marítimo;BRAZIL;57.0;Tubarão Tigre
280;Desastre Marítimo;BRAZIL;15.0;Tubarão Tigre
281;Provocado;BRAZIL;18.0;Tubarão Tigre
282;Provocado;BRAZIL;;
283;Provocado;SOUTH AFRICA;40.0;Tubarão Branco
284;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
285;Provocado;BRAZIL;49.0;Tubarão Branco
286;Provocado;BRAZIL;54.0;
287;Não Provocado;BRAZIL;;Tubarão Branco
288;Não Provocado;AUSTRALIA;29.0;
289;Provocado;BRAZIL;26.0;Tubarão Tigre
290;Não Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
291;Não Provocado;SOUTH AFRICA;50.0;Tubarão Tigre
292;Provocado;SOUTH AFRICA;75.0;Tubarão Branco
293;Provocado;USA;34.0;Tubarão Tigre
294;Provocado;AUSTRALIA;;Tubarão Cabeça-Chata
295;Provocado;BRAZIL;;Tubarão Tigre
296;Desastre Marítimo;USA;15.0;Tubarão Cabeça-Chata
297;Desastre Marítimo;BRAZIL;47.0;Tubarão Cabeça-Chata
298;Provocado;USA;;Tubarão Tigre
299;Não Provocado;USA;54.0;
300;Provocado;SOUTH AFRICA;23.0;Tubarão Branco
301;Provocado;SOUTH AFRICA;75.0;
302;Não Provocado;USA;49.0;
303;Desastre Marítimo;SOUTH AFRICA;12.0;Tubarão Tigre
304;Provocado;USA;;Tubarão Branco
305;Provocado;AUSTRALIA;28.0;Tubarão Branco
306;Desastre Marítimo;SOUTH AFRICA;;
307;Desastre Marítimo;SOUTH AFRICA;;Tubarão Tigre
308;Não Provocado;SOUTH AFRICA;;Tubarão Branco
309;Desastre Marítimo;AUSTRALIA;;
310;Desastre Marítimo;USA;10.0;Tubarão Branco
311;Desastre Marítimo;BRAZIL;34.0;Tubarão Tigre
312;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
313;Desastre Marítimo;USA;;Tubarão Tigre
314;Desastre Marítimo;AUSTRALIA;25.0;Tubarão Branco
315;Não Provocado;BRAZIL;28.0;Tubarão Cabeça-Chata
316;Desastre Marítimo;SOUTH AFRICA;;Tubarão Branco
317;Desastre Marítimo;AUSTRALIA;;Tubarão Cabeça-Chata
318;Não Provocado;AUSTRALIA;25.0;Tubarão Tigre
319;Provocado;BRAZIL;;
320;Não Provocado;USA;10.0;Tubarão Cabeça-Chata
321;Desastre Marítimo;SOUTH AFRICA;51.0;Tubarão Tigre
322;Desastre Marítimo;SOUTH AFRICA;28.0;Tubarão Tigre
323;Desastre Marítimo;USA;43.0;Tubarão Cabeça-Chata
324;Não Provocado;USA;64.0;
325;Desastre Marítimo;USA;27.0;Tubarão Tigre
326;Desastre Marítimo;BRAZIL;43.0;Tubarão Cabeça-Chata
327;Não Provocado;BRAZIL;54.0;
328;Provocado;SOUTH AFRICA;15.0;
329;Provocado;BRAZIL;;Tubarão Tigre
330;Desastre Marítimo;AUSTRALIA;79.0;Tubarão Branco
331;Não Provocado;SOUTH AFRICA;57.0;Tubarão Branco
332;Desastre Marítimo;BRAZIL;48.0;Tubarão Tigre
333;Não Provocado;USA;40.0;
334;Não Provocado;AUSTRALIA;;Tubarão Tigre
335;Provocado;USA;39.0;Tubarão Cabeça-Chata
336;Provocado;SOUTH AFRICA;27.0;Tubarão Branco
337;Não Provocado;USA;69.0;Tubarão Cabeça-Chata
338;Desastre Marítimo;BRAZIL;24.0;Tubarão Tigre
339;Provocado;BRAZIL;13.0;Tubarão Tigre
340;Desastre Marítimo;SOUTH AFRICA;72.0;
341;Provocado;USA;49.0;
342;Provocado;SOUTH AFRICA;18.0;
343;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
344;Provocado;AUSTRALIA;;
345;Provocado;BRAZIL;;Tubarão Tigre
346;Desastre Marítimo;SOUTH AFRICA;25.0;
347;Provocado;AUSTRALIA;;Tubarão Branco
348;Provocado;AUSTRALIA;61.0;
349;Provocado;SOUTH AFRICA;78.0;Tubarão Cabeça-Chata
350;Desastre Marítimo;SOUTH AFRICA;14.0;Tubarão Branco
351;Não Provocado;AUSTRALIA;29.0;Tubarão Branco
352;Desastre Marítimo;USA;27.0;Tubarão Branco
353;Não Provocado;AUSTRALIA;11.0;Tubarão Cabeça-Chata
354;Provocado;SOUTH AFRICA;22.0;Tubarão Tigre
355;Não Provocado;AUSTRALIA;13.0;
356;Desastre Marítimo;USA;;Tubarão Branco
357;Desastre Marítimo;BRAZIL;70.0;Tubarão Branco
358;Provocado;BRAZIL;17.0;Tubarão Branco
359;Não Provocado;AUSTRALIA;76.0;Tubarão Tigre
360;Provocado;USA;72.0;Tubarão Tigre
361;Provocado;BRAZIL;18.0;Tubarão Cabeça-Chata
362;Desastre Marítimo;AUSTRALIA;20.0;Tubarão Tigre
363;Não Provocado;AUSTRALIA;;
364;Não Provocado;USA;;Tubarão Cabeça-Chata
365;Não Provocado;SOUTH AFRICA;45.0;Tubarão Cabeça-Chata
366;Não Provocado;AUSTRALIA;22.0;
367;Provocado;SOUTH AFRICA;21.0;
368;Provocado;SOUTH AFRICA;46.0;
369;Desastre Marítimo;BRAZIL;61.0;Tubarão Cabeça-Chata
370;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
371;Provocado;USA;65.0;Tubarão Cabeça-Chata
372;Desastre Marítimo;BRAZIL;69.0;
373;Desastre Marítimo;BRAZIL;32.0;
374;Desastre Marítimo;BRAZIL;49.0;Tubarão Branco
375;Provocado;AUSTRALIA;73.0;Tubarão Tigre
376;Provocado;AUSTRALIA;32.0;Tubarão Branco
377;Desastre Marítimo;SOUTH AFRICA;38.0;
378;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
379;Desastre Marítimo;BRAZIL;78.0;
380;Provocado;USA;40.0;Tubarão Tigre
381;Provocado;SOUTH AFRICA;59.0;Tubarão Branco
382;Não Provocado;USA;;Tubarão Branco
383;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
384;Provocado;SOUTH AFRICA;11.0;Tubarão Branco
385;Provocado;AUSTRALIA;34.0;Tubarão Branco
386;Desastre Marítimo;AUSTRALIA;;
387;Provocado;USA;79.0;Tubarão Branco
388;Desastre Marítimo;SOUTH AFRICA;76.0;Tubarão Branco
389;Não Provocado;BRAZIL;67.0;Tubarão Branco
390;Não Provocado;AUSTRALIA;73.0;Tubarão Cabeça-Chata
391;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
392;Desastre Marítimo;USA;68.0;
393;Desastre Marítimo;AUSTRALIA;69.0;Tubarão Branco
394;Provocado;AUSTRALIA;71.0;Tubarão Cabeça-Chata
395;Não Provocado;SOUTH AFRICA;25.0;Tubarão Cabeça-Chata
396;Desastre Marítimo;USA;77.0;
397;Provocado;SOUTH AFRICA;24.0;Tubarão Tigre
398;Não Provocado;AUSTRALIA;64.0;Tubarão Branco
399;Provocado;USA;44.0;Tubarão Cabeça-Chata
400;Não Provocado;AUSTRALIA;;
401;Provocado;USA;;
402;Não Provocado;AUSTRALIA;58.0;
403;Não Provocado;BRAZIL;;Tubarão Cabeça-Chata
404;Provocado;BRAZIL;39.0;Tubarão Branco
405;Desastre Marítimo;SOUTH AFRICA;58.0;Tubarão Tigre
406;Não Provocado;BRAZIL;;Tubarão Branco
407;Desastre Marítimo;AUSTRALIA;60.0;
408;Provocado;AUSTRALIA;51.0;
409;Desastre Marítimo;BRAZIL;26.0;Tubarão Tigre
410;Desastre Marítimo;SOUTH AFRICA;72.0;Tubarão Branco
411;Desastre Marítimo;BRAZIL;54.0;
412;Desastre Marítimo;USA;16.0;
413;Desastre Marítimo;USA;36.0;Tubarão Branco
414;Não Provocado;USA;19.0;
415;Não Provocado;BRAZIL;43.0;Tubarão Branco
416;Não Provocado;BRAZIL;45.0;
417;Provocado;BRAZIL;34.0;Tubarão Branco
418;Desastre Marítimo;USA;15.0;Tubarão Tigre
419;Não Provocado;SOUTH AFRICA;33.0;
420;Provocado;AUSTRALIA;27.0;Tubarão Tigre
421;Não Provocado;BRAZIL;15.0;
422;Não Provocado;SOUTH AFRICA;;
423;Desastre Marítimo;AUSTRALIA;34.0;Tubarão Cabeça-Chata
424;Provocado;AUSTRALIA;64.0;Tubarão Branco
425;Desastre Marítimo;AUSTRALIA;55.0;Tubarão Tigre
426;Desastre Marítimo;SOUTH AFRICA;33.0;Tubarão Tigre
427;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
428;Desastre Marítimo;USA;37.0;Tubarão Branco
429;Provocado;SOUTH AFRICA;12.0;Tubarão Cabeça-Chata
430;Desastre Marítimo;SOUTH AFRICA;47.0;Tubarão Tigre
431;Desastre Marítimo;SOUTH AFRICA;70.0;Tubarão Branco
432;Desastre Marítimo;AUSTRALIA;60.0;
433;Não Provocado;BRAZIL;57.0;Tubarão Tigre
434;Provocado;USA;;Tubarão Tigre
435;Não Provocado;BRAZIL;;Tubarão Cabeça-Chata
436;Não Provocado;BRAZIL;65.0;Tubarão Tigre
437;Não Provocado;SOUTH AFRICA;68.0;Tubarão Tigre
438;Não Provocado;USA;60.0;
439;Não Provocado;BRAZIL;29.0;Tubarão Branco
440;Provocado;BRAZIL;68.0;Tubarão Branco
441;Desastre Marítimo;USA;18.0;Tubarão Cabeça-Chata
442;Não Provocado;SOUTH AFRICA;10.0;
443;Não Provocado;BRAZIL;;Tubarão Branco
444;Provocado;AUSTRALIA;72.0;
445;Provocado;BRAZIL;65.0;Tubarão Branco
446;Desastre Marítimo;AUSTRALIA;;
447;Provocado;SOUTH AFRICA;44.0;Tubarão Cabeça-Chata
448;Desastre Marítimo;BRAZIL;12.0;Tubarão Tigre
449;Não Provocado;USA;16.0;Tubarão Cabeça-Chata
450;Não Provocado;USA;36.0;Tubarão Branco
451;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
452;Provocado;SOUTH AFRICA;53.0;Tubarão Tigre
453;Desastre Marítimo;SOUTH AFRICA;50.0;Tubarão Cabeça-Chata
454;Provocado;USA;51.0;Tubarão Branco
455;Não Provocado;BRAZIL;;Tubarão Branco
456;Provocado;SOUTH AFRICA;59.0;Tubarão Cabeça-Chata
457;Desastre Marítimo;USA;72.0;Tubarão Tigre
458;Desastre Marítimo;AUSTRALIA;46.0;Tubarão Cabeça-Chata
459;Não Provocado;BRAZIL;;Tubarão Tigre
460;Provocado;AUSTRALIA;57.0;
461;Provocado;AUSTRALIA;14.0;Tubarão Tigre
462;Provocado;SOUTH AFRICA;57.0;
463;Não Provocado;SOUTH AFRICA;12.0;Tubarão Cabeça-Chata
464;Provocado;SOUTH AFRICA;56.0;Tubarão Tigre
465;Desastre Marítimo;BRAZIL;71.0;
466;Provocado;AUSTRALIA;;
467;Não Provocado;BRAZIL;72.0;
468;Provocado;SOUTH AFRICA;70.0;Tubarão Branco
469;Provocado;AUSTRALIA;40.0;Tubarão Cabeça-Chata
470;Desastre Marítimo;BRAZIL;26.0;
471;Provocado;BRAZIL;33.0;Tubarão Tigre
472;Desastre Marítimo;USA;;
473;Desastre Marítimo;BRAZIL;59.0;Tubarão Branco
474;Não Provocado;SOUTH AFRICA;79.0;Tubarão Cabeça-Chata
475;Desastre Marítimo;BRAZIL;;Tubarão Branco
476;Desastre Marítimo;AUSTRALIA;;Tubarão Branco
477;Não Provocado;BRAZIL;59.0;Tubarão Branco
478;Desastre Marítimo;USA;45.0;Tubarão Tigre
479;Não Provocado;AUSTRALIA;17.0;Tubarão Cabeça-Chata
480;Provocado;AUSTRALIA;;Tubarão Cabeça-Chata
481;Não Provocado;USA;;Tubarão Tigre
482;Desastre Marítimo;SOUTH AFRICA;56.0;Tubarão Cabeça-Chata
483;Não Provocado;AUSTRALIA;70.0;Tubarão Branco
484;Desastre Marítimo;SOUTH AFRICA;41.0;Tubarão Cabeça-Chata
